Job Class,Percentage,
Management,6.1,https://public.tableau.com/shared/H4HRMMW5Y?:display_count=y&:origin=viz_share_link&:embed=y
Business and Financial operations,5,https://public.tableau.com/shared/F62D2B5MJ?:display_count=y&:origin=viz_share_link&:embed=y
Computer and Mathematical,2.7,https://public.tableau.com/shared/JFJBJH38M?:display_count=y&:origin=viz_share_link&:embed=y
Architecture and Engineering,1.7,https://public.tableau.com/shared/RJ6YBK2PZ?:display_count=y&:origin=viz_share_link&:embed=y
"Life, Physical and Social Science",0.9,https://public.tableau.com/shared/RDHTX9PKX?:display_count=y&:origin=viz_share_link&:embed=y
Community and Social Service,1.6,https://public.tableau.com/shared/FDZ8YDC24?:display_count=y&:origin=viz_share_link&:embed=y
Legal,0.8,https://public.tableau.com/shared/C54W88QFM?:display_count=y&:origin=viz_share_link&:embed=y
"Education, training and library",6.1,https://public.tableau.com/shared/MBBPK8KZR?:display_count=y&:origin=viz_share_link&:embed=y
"Arts, design, entertainment, sports and media",1.7,https://public.tableau.com/shared/6KQXX2K49?:display_count=y&:origin=viz_share_link&:embed=y
Healthcare practioners and technical,5.5,https://public.tableau.com/shared/DT5BD4GGZ?:display_count=y&:origin=viz_share_link&:embed=y
Healthcare support,2.8,https://public.tableau.com/shared/W76P9YCM5?:display_count=y&:origin=viz_share_link&:embed=y
Protective service,2.3,https://public.tableau.com/shared/G6PJ2XTB8?:display_count=y&:origin=viz_share_link&:embed=y
Food preparation and serving,8.3,https://public.tableau.com/shared/PHD3SH3J3?:display_count=y&:origin=viz_share_link&:embed=y
Building and grounds cleaning and maintenance,3.7,https://public.tableau.com/shared/C63Z3SDG9?:display_count=y&:origin=viz_share_link&:embed=y
Personal care and service,4,https://public.tableau.com/shared/D6G32659Q?:display_count=y&:origin=viz_share_link&:embed=y
Sales,10.2,https://public.tableau.com/shared/2YZNYN6T2?:display_count=y&:origin=viz_share_link&:embed=y
Office and administrative support,15.1,https://public.tableau.com/shared/TDZ5JCGNM?:display_count=y&:origin=viz_share_link&:embed=y
"Farming, fishing and forestry",0.6,https://public.tableau.com/shared/R4PK54B8B?:display_count=y&:origin=viz_share_link&:embed=y
Construction and extraction,4.3,https://public.tableau.com/shared/R4PK54B8B?:display_count=y&:origin=viz_share_link&:embed=y
"Installation, maintenance and repair",3.8,https://public.tableau.com/shared/78Q5W482G?:display_count=y&:origin=viz_share_link&:embed=y
Production,6.1,https://public.tableau.com/shared/8CZ6Z93HD?:display_count=y&:origin=viz_share_link&:embed=y
Transportation and material moving,6.5,https://public.tableau.com/shared/3ZPZ95MM9?:display_count=y&:origin=viz_share_link&:embed=y
Total,99.8,
